Group Name,Prof,Topics
AquaLab,FabianEBustamante,DistributedArchitectures-Topic
Assistive and Rehabilitation Robotic Laboratory,BrennaArgall,Robotics-Topic
Campanoni Lab,SimoneCampanoni,Compilers-Topic
Center for Connected Learning and Computer-Based Modeling,UriWilensky,SoftwareNotationsTools-Topic
Delta Lab,HaoqiZhang,HumanComputerInteraction-Topic
Delta Lab,EleanorORourke,HumanComputerInteraction-Topic
Interactive Audio Lab,BryanPardo,SoundMusicComputing-Topic
Interactive Audio Lab,BryanPardo,MachineLearning-Topic
Northwestern Lab for Internet and Security Technology,YanChen,NetworkSecurity-Topic
Northwestern Networks Group,AleksandarKuzmanovic,Networks-Topic
Parallel Architecture Group at Northwestern,NikosHardavellas,ParallelArchitectures-Topic
Prescience Lab,PeterDinda,ComputerSystemsOrganization-Topic
Northwestern Artificial Intelligence Group,KenForbus,ArtificialIntelligence-Topic
Northwestern Artificial Intelligence Group,ThomasHinrichs,ArtificialIntelligence-Topic
Swarm Robotics Lab,MichaelRubenstein,Robotics-Topic
TIDAL Lab,MichaelHorn,InteractionTechniques-Topic
Northwestern CS Theory Group,JasonDHartline,TheoryComputation-Topic
Northwestern CS Theory Group,MingYangKao,TheoryComputation-Topic
Northwestern CS Theory Group,KonstantinMakarychev,TheoryComputation-Topic
Northwestern CS Theory Group,AravindanVijayaraghavan,TheoryComputation-Topic
Northwestern CS Theory Group,SamirKhuller,TheoryComputation-Topic
